11000 vectors
14d10 __entry_text_end
14d10 __entry_text_end
17984 ret_from_fork
179dc __sdei_asm_handler
1a930 __switch_to
22500 start_backtrace
22520 unwind_frame
22864 walk_stackframe
22ae0 arch_stack_walk
254a4 return_address
2bbd0 secondary_start_kernel
31f20 __kuser_helper_end
31f20 __kuser_helper_end
31fe4 ftrace_update_ftrace_func
32030 ftrace_make_call
32114 ftrace_modify_call
32220 ftrace_init_nop
322e0 ftrace_make_nop
32450 ftrace_enable_ftrace_graph_caller
32510 ftrace_disable_ftrace_graph_caller
32670 ftrace_common
32684 ftrace_call
32688 ftrace_graph_call
326b4 ftrace_graph_caller
326d4 return_to_handler
39820 __cpu_suspend_exit
3d9d0 arm64_relocate_new_kernel
40fcc kretprobe_trampoline
97ff8 __guest_exit_panic
98048 __guest_exit
99800 __bp_harden_hyp_vecs
afed0 raise_softirq_irqoff
e1714 notify_die
f60e4 task_curr
15f700 rcu_is_watching
15faa0 rcu_momentary_dyntick_idle
17c054 ktime_get_mono_fast_ns
17c120 ktime_get_boot_fast_ns
17c150 ktime_get_raw_fast_ns
1904f0 sched_clock_read_retry
190510 sched_clock
1f9b90 trace_clock_local
1f9bb0 trace_clock
1f9bd0 trace_clock_jiffies
1f9c00 trace_clock_global
1f9d10 trace_clock_counter
1fc0c4 ftrace_ops_set_global_filter
1fd104 __unregister_ftrace_function
1fd240 ftrace_ops_trampoline
1fd2a0 is_ftrace_trampoline
1fe0e0 ftrace_ops_test
1fe170 ftrace_location_range
1fe1a4 ftrace_location
1fe1e0 ftrace_text_reserved
1fe220 ftrace_update_record
1fe240 ftrace_test_record
1fe260 ftrace_get_addr_new
1fe374 ftrace_get_addr_curr
1fea74 ftrace_modify_all_code
1febe4 ftrace_run_stop_machine
1ff1f0 unregister_ftrace_function
1ff290 ftrace_shutdown
1ff674 ftrace_regex_open
2006c4 ftrace_set_filter
200760 ftrace_set_notrace
2007f4 ftrace_set_global_filter
200840 ftrace_set_global_notrace
200884 ftrace_set_filter_ip
200e80 ftrace_regex_release
200fd4 allocate_ftrace_func_mapper
200ff4 ftrace_func_mapper_find_ip
201020 ftrace_func_mapper_add_ip
